pc_title,id,price,heat,cpu,motherboard,ram,gpu,ssd,power,case
Montech x AMD打機組合 R7-9800X3D/RTX4070 SUPER/32GB/2T,KO20240133,15380, JONSBO 喬思伯 360 ARGB 水冷散熱器 (AIO)(黑色)(TG-360BK), X* AMD Ryzen7 9800X3D , Asus 華碩 Prime X870-P-CSM ATX 主機板 (DDR5), ADATA XPG Lancer RGB 32GB 黑色套裝 (2x16GB) D5-6000C30 (AX5U6000C3016G-DCLARBK)(XMP/EXPO), ZOTAC GAMING 索泰 GeForce RTX 4070 SUPER Twin Edge OC 超頻版 12GB GDDR6X 顯示卡(ZT-D40720H-10M), Crucial P3 Plus 2TB Gen 4 M.2 SSD (CT2000P3PSSD8)," Corsair 海盜船 750W/RM750e ATX 3.1 金牌全模組火牛,7年保用 80PLUS Gold (PCIe 5.0)(CP-9020262-UK)", Montech 君主 KING65 PRO ATX Case (黑色/Black)(全景)(MO-CA-KING65-PRO-BK)
Gigabyte X Corsair砌機組合 i7-14700/RTX4070Ti/48G/2T,KO20240043,15380, Corsair 海盜船 iCUE LINK TITAN 240 RX RGB 水冷散熱器 (白色)(AIO)(CW-9061020-WW), Intel Core i7-14700 , Gigabyte 技嘉 Z690 AERO G ATX 主機板 (DDR5), ADATA XPG Lancer Blade RGB 48GB 白色套裝 (2x24GB) D5-6000C30 (AX5U6000C3024G-DTLABRWH)(XMP/EXPO), GIGABYTE 技嘉 GeForce RTX 4070 Ti GAMING OC V2 超頻版 12GB GDDR6X 顯示卡, Kingston NV3 2TB Gen 4 M.2 SSD (SNV3S/2000G)(隨附 Acronis 備份軟體)," Corsair 海盜船 750W/RM750e ATX 3.1 金牌全模組火牛,7年保用 80PLUS Gold (PCIe 5.0)(CP-9020262-UK)", Corsair 海盜船 4000D ATX Case (白色/White)(CC-9011199-WW)
限時優惠:Ultra 7 265KF 砌機組合 U7-265K/RTX4070/32GB/2TB,KO20240164,15380, ASUS 華碩 Prime LC 240 ARGB 水冷散熱器 (黑色)(AIO)(TH-APLC24A), Intel Core Ultra 7 265KF , Asus 華碩 Tuf Gaming Z890-Pro WiFi ATX 主機板 (DDR5/Wi-Fi 7/藍牙/LGA 1851), ADATA XPG Lancer RGB 32GB 黑色套裝 (2x16GB) D5-6000C30 (AX5U6000C3016G-DCLARBK)(XMP/EXPO), ASUS 華碩 Dual GeForce RTX 4070 EVO OC Edition 12GB GDDR6X 顯示卡, Kingston KC3000 2048GB Gen 4 M.2 SSD (SKC3000D/2048G)," ASUS 華碩 750W/ROG LOKI 750 ATX 3.0 白金牌全模組黑色細火牛,10年保用 80PLUS Platinum (PCIe 5.0)(SFX-L)", ASUS 華碩 ProArt PA401 ATX Case (木質玻璃版黑色/Black)(ProArt旗艦)(CA-APA401G)
ANTEC CX200M RGB ELITE i5-13400F/RTX4070 SUPER/32GB/1TB,SKU: KO20240029,8950, PCCooler 超頻三 E126M PRO 風冷散熱器 (黑色)(AIR), Intel Core i5-13400F , Asus 華碩 B760M-AYW WiFi Micro-ATX 主機板 (DDR5/Wi-Fi/藍牙), ADATA XPG Lancer RGB 32GB 黑色套裝 (2x16GB) D5-5600C36 (AX5U5600C3616G-DCLARBK)(XMP/EXPO), ZOTAC GAMING 索泰 GeForce RTX 4070 SUPER Twin Edge OC 超頻版 12GB GDDR6X 顯示卡(ZT-D40720H-10M), Crucial P3 Plus 1TB Gen 4 M.2 SSD (CT1000P3PSSD8)," Antec 安鈦克 750W/CSK750H 半模銅牌火牛,3年保用 80PLUS Bronze", Antec 安鈦克 CX200M RGB ELITE Micro-ATX Case (黑色/Black)
Centralfield + R5-9600X/RTX4070/32GB/1TB - Powered by ASUS,SKU: KO20240159,10280, Darkflash DM12R Pro 12cm ARGB Reverse Fan (單把反向黑色)(TH-DM12RBP) x2 ;  JONSBO 喬思伯 240 ARGB 水冷散熱器 (AIO)(黑色)(TG-240BK), AMD Ryzen5 9600X , Asus 華碩 PRIME B650M-A WiFi II Micro-ATX 主機板 (DDR5/Wi-Fi/藍牙), Acer Predator Pallas II 32GB 黑色套裝 (2x16GB) D5-6000C30 (RM-AP5D32B)(XMP/EXPO), ASUS 華碩 Dual GeForce RTX 4070 EVO OC Edition 12GB GDDR6X 顯示卡, Kingston NV3 1TB Gen 4 M.2 SSD (SNV3S/1000G)(隨附 Acronis 備份軟體)," ASUS 華碩 750W/TUF Gaming 750W 銅牌火牛,6年保用 80PLUS Bronze", JONSBO 喬思伯 TK-1 Micro-ATX Case (黑色/Black)
Corsair 4000D R5-7500F/RTX4070 SUPER/32GB/1TB,SKU: KO20240155,10570, Corsair 海盜船 iCUE LINK TITAN 240 RX RGB 水冷散熱器 (黑色)(AIO)(CW-9061016-WW), AMD Ryzen5 7500F , Asus 華碩 PRIME A620M-A-CSM Micro-ATX 主機板 (DDR5), Corsair Vengeance RGB 32GB 黑色套裝 (2x16GB) D5-6000C28 (CMH32GX5M2B6000Z28)(XMP/EXPO), ZOTAC GAMING 索泰 GeForce RTX 4070 SUPER Twin Edge OC 超頻版 12GB GDDR6X 顯示卡(ZT-D40720H-10M), Corsair MP600 CORE XT 1TB Gen 4 M.2 SSD (CSSD-F1000GBMP600CXT)," Corsair 海盜船 750W/RM750e ATX 3.1 金牌全模組火牛,7年保用 80PLUS Gold (PCIe 5.0)(CP-9020262-UK)", Corsair 海盜船 4000D ATX Case (黑色/Black)(CC-9011198-WW)
最新B860晶片 U5-245K/RTX4070/32GB/1TB - Powered by ASUS,SKU: KO20250001,11080, ASUS 華碩 Prime AR120 ARGB 12cm Fan(單把盒裝黑色)(TH-APAR12A) x2 ;  COOLLEO A40 ARGB CPU 風冷散熱器 (TH-CA40A)(AIR), Intel Core Ultra 5 245K , Asus 華碩 B860M-AYW GAMING WiFi Micro-ATX 主機板 (DDR5/Wi-Fi/藍牙), ADATA XPG Lancer Blade RGB 32GB 黑色套裝 (2x16GB) D5-6000C30 (AX5U6000C3016G-DTLARBK)(RM-LBRD32B)(XMP/EXPO), ASUS 華碩 Dual GeForce RTX 4070 EVO OC Edition 12GB GDDR6 顯示卡, Kingston NV3 1TB Gen 4 M.2 SSD (SNV3S/1000G)(隨附 Acronis 備份軟體)," ASUS 華碩 750W/TUF Gaming 750W 銅牌火牛,6年保用 80PLUS Bronze", ASUS 華碩 Prime A21 Micro-ATX Case (黑色/Black)(BTF)(支援背插式主機板)
Centralfield + i5-12600KF/RTX4070 SUPER/32GB/2TB - Powered by ASUS,SKU: KO20240157,11350, ASUS 華碩 Prime AR120 ARGB 12cm Fan(單把盒裝黑色)(TH-APAR12A) x1 ;  JONSBO 喬思伯 240 ARGB 水冷散熱器 (AIO)(黑色)(TG-240BK), Intel Core i5-12600KF , Asus 華碩 B760M-AYW WiFi Micro-ATX 主機板 (DDR5/Wi-Fi/藍牙6 + Bluetooth v5.3), G.Skill Flare X5 32GB 黑色烈焰槍套裝 (2x16GB) D5-5600C36 (F5-5600J3636C16GX2-FX5)(AMD EXPO), ASUS 華碩 ROG Strix GeForce RTX 4070 SUPER OC 超頻版 12GB GDDR6X 顯示卡, ADATA Legend 710 2TB Gen 3 M.2 SSD (ALEG-710-2TCS)," ASUS 華碩 750W/ROG LOKI 750 ATX 3.0 白金牌全模組黑色細火牛,10年保用 80PLUS Platinum (PCIe 5.0)(SFX-L)", JONSBO 喬思伯 Z20 Micro-ATX Case (黑色/Black)
PCCooler C3 T500 i5-14600KF/RTX4070 SUPER/32GB/2TB,SKU: KO20240172,12080, Gamemax KF300R Reverse 12cm Black Frame ARGB Fan (3把反向黑色套裝)(KF300R BK) x1 ;  PCCooler 超頻三 DC360 Pro ARGB Display 水冷散熱器 (2.4吋IPS屏)(黑色)(AIO), Intel Core i5-14600KF , Asus 華碩 B760M-AYW WiFi Micro-ATX 主機板 (DDR5/Wi-Fi/藍牙6 + Bluetooth v5.3), Corsair Vengeance RGB 32GB 黑色套裝 (2x16GB) D5-6000C28 (CMH32GX5M2B6000Z28)(XMP/EXPO), ASUS 華碩 ROG Strix GeForce RTX 4070 SUPER OC 超頻版 12GB GDDR6X 顯示卡, Crucial P3 Plus 2TB Gen 4 M.2 SSD (CT2000P3PSSD8)," Corsair 海盜船 750W/RM750e ATX 3.1 金牌全模組火牛,7年保用 80PLUS Gold (PCIe 5.0)(CP-9020262-UK)", PCCooler 超頻三 C3 T500 Case (黑色/Black)
Ultra 5 245K 砌機組合 U5-245K/RTX4070 SUPER/32GB/2TB,SKU: KO20240163,12430, Thermalright 利民 Peerless Assassin 120SE ARGB 雙塔式風冷散熱器 (黑色)(TL-PA120SE)(AIR)(814256003766), Intel Core Ultra 5 245K , ASRock 華擎 Z890 Pro RS WiFi ATX 主機板 (DDR5/Wi-Fi/藍牙/LGA 1851), ADATA XPG Lancer RGB 32GB 黑色套裝 (2x16GB) D5-5600C36 (AX5U5600C3616G-DCLARBK)(XMP/EXPO), ZOTAC GAMING 索泰 GeForce RTX 4070 SUPER Twin Edge OC 超頻版 12GB GDDR6X 顯示卡(ZT-D40720H-10M), Crucial P3 Plus 2TB Gen 4 M.2 SSD (CT2000P3PSSD8)," Corsair 海盜船 750W/RM750e ATX 3.1 金牌全模組火牛,7年保用 80PLUS Gold (PCIe 5.0)(CP-9020262-UK)", Antec 安鈦克 C3 Black ATX Case (黑色/Black)
Centralfield + i5-14600KF/RTX4070 SUPER/32GB/1TB - Powered by ASUS,SKU: KO20240052,12680, ASUS 華碩 Prime LC 240 ARGB 水冷散熱器 (黑色)(AIO)(TH-APLC24A), Intel Core i5-14600KF , Asus 華碩 Prime B760M-A Micro-ATX 主機板 (DDR5), ADATA XPG Lancer RGB 32GB 黑色套裝 (2x16GB) D5-5600C36 (AX5U5600C3616G-DCLARBK)(XMP/EXPO), ASUS 華碩 ROG Strix GeForce RTX 4070 SUPER OC 超頻版 12GB GDDR6X 顯示卡, WD Black SN850x 2TB Gen 4 M.2 SSD (黑牌)(WDS200T2X0E)," ASUS 華碩 750W/ROG LOKI 750 ATX 3.0 白金牌全模組黑色細火牛,10年保用 80PLUS Platinum (PCIe 5.0)(SFX-L)", ASUS 華碩 Prime AP201 Micro-ATX Case (黑色/Black)(玻璃側板)(AAP201G)
Fractal Design Mood R7-9700X/RTX4070 SUPER/32GB/2TB,SKU: KO20240160,12750, Cooler Master 酷碼 MasterLiquid 240L Core ARGB 水冷散熱器 (黑色(AIO)(MLW-D24M-A18PZ-R1), AMD Ryzen7 9700X , MSI MPG B650I EDGE WiFi ITX 主機板 (DDR5/Wi-Fi/藍牙), Biwin Black Opal HX100 32GB 銀色套裝 (2x16GB) D5-6000C30 (RM-BH5D32W)(EXPO/XMP), ZOTAC GAMING 索泰 GeForce RTX 4070 SUPER Twin Edge OC 超頻版 12GB GDDR6X 顯示卡(ZT-D40720H-10M), Crucial P3 Plus 2TB Gen 4 M.2 SSD (CT2000P3PSSD8)," SHARKOON 旋剛 850W/Rebel P20 SFX 850 白金牌全模組黑色細火牛,5年保用 Cybenetics Platinum (PCIe 5.0)(SFX)", Fractal Design Mood ITX Case (黑色/Black)(FD-C-MOD1N-02)
Centralfield + ProArt主題組合 i5-14600KF/RTX4070Ti SUPER/32GB/1TB - Powered by ASUS,SKU: KO20240037,13480, ASUS 華碩 Prime LC 240 ARGB 水冷散熱器 (黑色)(AIO)(TH-APLC24A), Intel Core i5-14600KF , Asus 華碩 Prime B760M-A WiFi D4 Micro-ATX 主機板 (DDR4/Wi-Fi/藍牙), Corsair Vengeance LPX 32GB 黑色套裝 (2x16GB) D4-3200C16 (CMK32GX4M2E3200C16), ASUS 華碩 Prime GeForce RTX 4070 Ti SUPER 16GB GDDR6X 顯示卡, Biwin NV7200 2TB Gen 4 M.2 SSD (HD-BNV722T)," ASUS 華碩 850W/TUF Gaming 850 ATX 3.0 金牌全模組火牛,10年保用 80PLUS Gold (PCIe 5.0)", ASUS 華碩 ProArt PA401 ATX Case (木質玻璃版黑色/Black)(ProArt旗艦)(CA-APA401G)
Antec CX600M TRIO ARGB R7-9700X/RTX4070Ti SUPER/32GB/2TB,SKU: KO20240126,13630, Thermalright 利民 Ultra 120EX REV.4 風冷散熱器 (白色)(AIR), AMD Ryzen7 9700X , MSI B650M GAMING WiFi Micro-ATX 主機板 (DDR5/Wi-Fi/藍牙 Bluetooth® 5.3), ADATA XPG Lancer RGB 32GB 白色套裝 (2x16GB) D5-6400C32 (AX5U6400C3216G-DCLARWH)(XMP/EXPO), ASUS 華碩 Prime GeForce RTX 4070 Ti SUPER 16GB GDDR6X 顯示卡, Crucial P3 Plus 2TB Gen 4 M.2 SSD (CT2000P3PSSD8)," Antec 安鈦克 GSK 850W ATX 3.1 金牌全模組白色火牛,7年保用 80PLUS Gold", Antec 安鈦克 CX600M TRIO ARGB ATX Case (白色/White)(3把RGB 風扇)
送Office 365個人版 Centralfield + i7-14700/RTX4070 SUPER/32GB/2TB - Powered by ASUS,SKU: KO20240139,13980, ASUS 華碩 Prime LC 240 ARGB 水冷散熱器 (黑色)(AIO)(TH-APLC24A), Intel Core i7-14700 , Asus 華碩 Prime B760M-A D4 Micro-ATX 主機板 (DDR4), Kingston FURY BEAST 32GB 黑色套裝 (2x16GB) DDR4-3600C18 (KF436C18BBK2/32), ASUS 華碩 ROG Strix GeForce RTX 4070 SUPER OC 超頻版 12GB GDDR6X 顯示卡, Crucial P3 Plus 2TB Gen 4 M.2 SSD (CT2000P3PSSD8)," ASUS 華碩 750W/ROG LOKI 750 ATX 3.0 白金牌全模組黑色細火牛,10年保用 80PLUS Platinum (PCIe 5.0)(SFX-L)", ASUS 華碩 Prime AP201 Micro-ATX Case (黑色/Black)(玻璃側板)(AAP201G)
送Office 365個人版 Centralfield + i7-14700/RTX4070 SUPER/32GB/2TB - Powered by ASUS,SKU: KO20240139,13980, ASUS 華碩 Prime LC 240 ARGB 水冷散熱器 (黑色)(AIO)(TH-APLC24A), Intel Core i7-14700 , Asus 華碩 Prime B760M-A D4 Micro-ATX 主機板 (DDR4), Kingston FURY BEAST 32GB 黑色套裝 (2x16GB) DDR4-3600C18 (KF436C18BBK2/32), ASUS 華碩 ROG Strix GeForce RTX 4070 SUPER OC 超頻版 12GB GDDR6X 顯示卡, Crucial P3 Plus 2TB Gen 4 M.2 SSD (CT2000P3PSSD8)," ASUS 華碩 750W/ROG LOKI 750 ATX 3.0 白金牌全模組黑色細火牛,10年保用 80PLUS Platinum (PCIe 5.0)(SFX-L)", ASUS 華碩 Prime AP201 Micro-ATX Case (黑色/Black)(玻璃側板)(AAP201G)
Corsair iCUE 2000D Airflow R7-9700X/RTX4070 SUPER/32GB/2T,SKU: KO20240118,14460, Corsair 海盜船 NAUTILUS 360 RS ARGB 液體 CPU 散熱器 (黑色)(AIO)(CW-9060093-WW)(最新產品) x1 ;  Corsair 海盜船 iCUE QL120 x 3 RGB PWM 12cm Fan(3把黑色套裝/Lighting Node CORE)(CO-9050098-WW), AMD Ryzen7 9700X , MSI MPG B650I EDGE WiFi ITX 主機板 (DDR5/Wi-Fi/藍牙), ADATA XPG Lancer RGB 32GB 黑色套裝 (2x16GB) D5-5600C36 (AX5U5600C3616G-DCLARBK)(XMP/EXPO), ZOTAC GAMING 索泰 GeForce RTX 4070 SUPER Twin Edge OC 超頻版 White 12GB GDDR6X 白色顯示卡(ZT-D40720Q-10M), Corsair MP600 CORE XT 2TB Gen 4 M.2 SSD (CSSD-F2000GBMP600CXT)," Corsair 海盜船 1000W/SF1000L ATX 3.0 金牌全模組細火牛,7年保用 80PLUS Gold (PCIe 5.0)(SFX-L)(CP-9020246-UK)", Corsair 海盜船 2000D Airflow ITX PC Case (黑色/Black)(CC-9011244-WW)
Corsair 4000D i7-14700/RTX4070Ti SUPER/32GB/2TB,SKU: KO20240131,14480, Corsair 海盜船 NAUTILUS 240 RS ARGB 液體 CPU 散熱器 (黑色)(AIO)(CW-9060092-WW)(最新產品), Intel Core i7-14700 , Asus 華碩 ROG Strix B760-G Gaming WiFi Micro-ATX 主機板 (DDR5/Wi-Fi/藍牙), Corsair Vengeance RGB 32GB 白色套裝 (2x16GB) D5-6400C36 (CMH32GX5M2B6400C36W)(Intel XMP), Manli 萬利達 GeForce RTX 4070Ti SUPER Triple Cooler Polar Fox series 16GB GDDR6X 顯示卡, Corsair MP600 CORE XT 2TB Gen 4 M.2 SSD (CSSD-F2000GBMP600CXT)," Corsair 海盜船 750W/RM750e ATX 3.1 金牌全模組火牛,7年保用 80PLUS Gold (PCIe 5.0)(CP-9020262-UK)", Corsair 海盜船 4000D ATX Case (白色/White)(CC-9011199-WW)
Centralfield + R5-7600X/RTX4070 SUPER/32GB/2TB - Powered by ASUS,SKU: KO20240168,14780, ASUS 華碩 Prime LC 360 ARGB 水冷散熱器 (黑色)(AIO)(TH-APLC36A) x1 ;  ASUS 華碩 TUF Gaming TR120 ARGB 12cm Fan x3(三把盒裝黑色)(TH-ATTR36A), AMD Ryzen5 7600X , Asus 華碩 ROG STRIX B850-I GAMING WiFi ITX 主機板 (DDR5/Wi-Fi/藍牙), G.Skill Flare X5 32GB 黑色烈焰槍套裝 (2x16GB) D5-5600C36 (F5-5600J3636C16GX2-FX5)(AMD EXPO), ASUS 華碩 ROG Strix GeForce RTX 4070 SUPER OC 超頻版 12GB GDDR6X 顯示卡, ADATA Legend 710 2TB Gen 3 M.2 SSD (ALEG-710-2TCS)," ASUS 華碩 750W/ROG LOKI 750 ATX 3.0 白金牌全模組黑色細火牛,10年保用 80PLUS Platinum (PCIe 5.0)(SFX-L)", Corsair 海盜船 2000D Airflow ITX PC Case (黑色/Black)(CC-9011244-WW)
Montech x AMD打機組合 R7-9800X3D/RTX4070 SUPER/32GB/2T,SKU: KO20240133,15380, JONSBO 喬思伯 360 ARGB 水冷散熱器 (AIO)(黑色)(TG-360BK), X* AMD Ryzen7 9800X3D , Asus 華碩 Prime X870-P-CSM ATX 主機板 (DDR5), ADATA XPG Lancer RGB 32GB 黑色套裝 (2x16GB) D5-6000C30 (AX5U6000C3016G-DCLARBK)(XMP/EXPO), ZOTAC GAMING 索泰 GeForce RTX 4070 SUPER Twin Edge OC 超頻版 12GB GDDR6X 顯示卡(ZT-D40720H-10M), Crucial P3 Plus 2TB Gen 4 M.2 SSD (CT2000P3PSSD8)," Corsair 海盜船 750W/RM750e ATX 3.1 金牌全模組火牛,7年保用 80PLUS Gold (PCIe 5.0)(CP-9020262-UK)", Montech 君主 KING65 PRO ATX Case (黑色/Black)(全景)(MO-CA-KING65-PRO-BK)
Gigabyte X Corsair砌機組合 i7-14700/RTX4070Ti/48G/2T,SKU: KO20240043,15380, Corsair 海盜船 iCUE LINK TITAN 240 RX RGB 水冷散熱器 (白色)(AIO)(CW-9061020-WW), Intel Core i7-14700 , Gigabyte 技嘉 Z690 AERO G ATX 主機板 (DDR5), ADATA XPG Lancer Blade RGB 48GB 白色套裝 (2x24GB) D5-6000C30 (AX5U6000C3024G-DTLABRWH)(XMP/EXPO), GIGABYTE 技嘉 GeForce RTX 4070 Ti GAMING OC V2 超頻版 12GB GDDR6X 顯示卡, Kingston NV3 2TB Gen 4 M.2 SSD (SNV3S/2000G)(隨附 Acronis 備份軟體)," Corsair 海盜船 750W/RM750e ATX 3.1 金牌全模組火牛,7年保用 80PLUS Gold (PCIe 5.0)(CP-9020262-UK)", Corsair 海盜船 4000D ATX Case (白色/White)(CC-9011199-WW)
限時優惠:Ultra 7 265KF 砌機組合 U7-265K/RTX4070/32GB/2TB,SKU: KO20240164,15380, ASUS 華碩 Prime LC 240 ARGB 水冷散熱器 (黑色)(AIO)(TH-APLC24A), Intel Core Ultra 7 265KF , Asus 華碩 Tuf Gaming Z890-Pro WiFi ATX 主機板 (DDR5/Wi-Fi 7/藍牙/LGA 1851), ADATA XPG Lancer RGB 32GB 黑色套裝 (2x16GB) D5-6000C30 (AX5U6000C3016G-DCLARBK)(XMP/EXPO), ASUS 華碩 Dual GeForce RTX 4070 EVO OC Edition 12GB GDDR6X 顯示卡, Kingston KC3000 2048GB Gen 4 M.2 SSD (SKC3000D/2048G)," ASUS 華碩 750W/ROG LOKI 750 ATX 3.0 白金牌全模組黑色細火牛,10年保用 80PLUS Platinum (PCIe 5.0)(SFX-L)", ASUS 華碩 ProArt PA401 ATX Case (木質玻璃版黑色/Black)(ProArt旗艦)(CA-APA401G)
